(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, src, INFO     [__init__.py:45] Device detected 'cpu'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:179] Process: 'training'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, src.utils.directories, INFO     [directories.py:19] Creating run diretory at '/Users/raulferreira/rl/dqn/output/model'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, src.utils.directories, INFO     [directories.py:24] Created '/Users/raulferreira/rl/dqn/output/model/04-07-2021_22-27-38'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:186] Screen size '40 x 90'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:189] Cardinality of the action space '2'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:191] Creating policy network
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:194] Creating target network
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:219] Running '50000' episodes
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '0'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '0' finished in '32' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '1'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '1' finished in '39' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '2'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '2' finished in '10' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '3'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '3' finished in '17' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '4'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '4' finished in '17' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '5'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '5' finished in '15' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '6'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '6' finished in '11' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '7'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '7' finished in '38' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '8'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '8' finished in '39' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '9'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '9' finished in '18' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '10'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '10' finished in '15' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '11'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '11' finished in '21' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '12'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '12' finished in '12' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '13'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '13' finished in '23' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '14'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '14' finished in '10' steps
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:223] Running episode '15'
(asctime)s, (name)s, (levelname)-8s [(filename)s:(lineno)d] (message)s, __main__, INFO     [train.py:230] Episode '15' finished in '38' steps
